Sensor1,Sensor2,Sensor3,Sensor4,Fist,IndexClose,IndexOpen,MiddleClose,MiddleOpen,Open,PinkyClose,PinkyOpen,Relaxed,RingClose,RingOpen,ThumbClose,ThumbOpen
88,88,82,104,1,0,0,0,0,0,0,0,0,0,0,0,0
91,84,78,101,1,0,0,0,0,0,0,0,0,0,0,0,0
96,101,84,102,1,0,0,0,0,0,0,0,0,0,0,0,0
89,86,91,104,1,0,0,0,0,0,0,0,0,0,0,0,0
87,93,89,102,1,0,0,0,0,0,0,0,0,0,0,0,0
85,92,83,100,1,0,0,0,0,0,0,0,0,0,0,0,0
90,82,81,102,1,0,0,0,0,0,0,0,0,0,0,0,0
94,91,82,105,1,0,0,0,0,0,0,0,0,0,0,0,0
95,83,83,103,1,0,0,0,0,0,0,0,0,0,0,0,0
95,94,76,103,1,0,0,0,0,0,0,0,0,0,0,0,0
91,90,87,101,1,0,0,0,0,0,0,0,0,0,0,0,0
95,84,80,104,1,0,0,0,0,0,0,0,0,0,0,0,0
96,80,87,107,1,0,0,0,0,0,0,0,0,0,0,0,0
98,79,86,112,1,0,0,0,0,0,0,0,0,0,0,0,0
98,81,84,113,1,0,0,0,0,0,0,0,0,0,0,0,0
96,99,89,110,1,0,0,0,0,0,0,0,0,0,0,0,0
99,93,86,107,1,0,0,0,0,0,0,0,0,0,0,0,0
96,93,94,105,1,0,0,0,0,0,0,0,0,0,0,0,0
96,89,78,103,1,0,0,0,0,0,0,0,0,0,0,0,0
93,87,74,100,1,0,0,0,0,0,0,0,0,0,0,0,0
90,86,75,101,1,0,0,0,0,0,0,0,0,0,0,0,0
91,82,74,98,1,0,0,0,0,0,0,0,0,0,0,0,0
92,82,91,103,1,0,0,0,0,0,0,0,0,0,0,0,0
90,77,77,105,1,0,0,0,0,0,0,0,0,0,0,0,0
92,87,80,105,1,0,0,0,0,0,0,0,0,0,0,0,0
88,93,77,103,1,0,0,0,0,0,0,0,0,0,0,0,0
88,81,73,101,1,0,0,0,0,0,0,0,0,0,0,0,0
96,77,76,105,1,0,0,0,0,0,0,0,0,0,0,0,0
89,81,79,106,1,0,0,0,0,0,0,0,0,0,0,0,0
91,82,72,109,1,0,0,0,0,0,0,0,0,0,0,0,0
97,84,82,110,1,0,0,0,0,0,0,0,0,0,0,0,0
98,95,88,110,1,0,0,0,0,0,0,0,0,0,0,0,0
96,80,80,109,1,0,0,0,0,0,0,0,0,0,0,0,0
94,88,77,109,1,0,0,0,0,0,0,0,0,0,0,0,0
92,97,80,108,1,0,0,0,0,0,0,0,0,0,0,0,0
